"","Chg","Chk","Dam","Dto","Fgn","Fhn","Grb","Hee","Hep","Hkr","Hmp","Htk","Jan","Jgr","Jsl","Kmk","Kmy","Kng","Krb","Krg","Kwg","Kwn","Lhm","Moo","Mrk","Mty","Nak","Nee","Ngk","Ngr","Nhk","Nms","Noi","Nrk","Pet","Pld","Plw","Poo","Pri","Suy","Yak","Yng"
"Chg",0,0,0,0.000239808153477218,0,0,0,0,0,0,0,0,0,0,0.0144191919191919,0,0,0.00037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chk",0,0,0,0,0,0,0,0.000979346666956843,0,0,0,0,0.00684931506849315,0.00416666666666667,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dam",0,0,0,0,0,0,0,0,0.00379615426331366,0,0,0,0,0,0,0.00267094017094017,0,0,0,0,0,0,0,0,0.00336553945249597,0.00108695652173913,0,0,0,0,0,0,0,0,0,0,0,0.00914583333333333,0,0,0,0
"Dto",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176056338028169,0,0,0,0,0,0,0,0,0.0146135265700483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000691358024691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000919540229885057,0,0,0,0,0,0,0,0,0,0
"Fhn",0,0,0,0,0,0,0,0,0,0,0.0155092592592593,0,0,0,0,0,0,0,0,0,0.0010515247108307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305164319248826,0,0,0,0,0
"Grb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191256830601093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hee",0,0,0,0,0,0,0.000262130068940208,0,0,0,0.000232834291834501,0,0,0,0,0,0.00376679870713748,0,0,0,0,0,0,0.000992304130190302,0,0,0.00308716840503649,0,0,0,0,0,0,0,0.00521654198761349,0,0,0,0,0,0,0
"Hep",0,0,0,0,0,0,0,0,0,0,0,0.00100416009180892,0.000201428593563582,0,0,0.00261860079430891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hkr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000667913438418381,0,0,0,0.000719114051488566,0,0,0,0,0,0,0,0,0,0.00197748305956179,0,0,0,0,0,0.00873989042525437,0,0,0.00070298769771529,0,0
"Hmp",0,0,0,0,0,0.0395679012345679,0,0.00407460010710377,0,0,0,0,0,0,0,0,0,0.000897435897435897,0,0.00293333333333333,0,0,0.00746268656716418,0,0,0,0,0,0,0,0.000436369406537607,0,0,0,0,0,0,0,0.000735294117647059,0,0,0.000657894736842105
"Htk",0,0,0,0,0,0,0,0,0.00768262165479208,0,0,0,0.0120588235294118,0,0,0,0,0,0,0,0,0,0,0,0.00373134328358209,0,0,0.0072979797979798,0,0,0.0017851475721993,0,0.00353508572582885,0,0,0,0,0,0,0,0,0.00493421052631579
"Jan",0,0,0,0,0,0,0,0,0.000619780287887944,0,0,0,0,0,0,0,0,0,0,0,0,0.00172413793103448,0,0,0.00241545893719807,0,0,0,0,0.000683760683760684,0.00484345939243645,0,0,0,0,0,0,0,0,0,0,0
"Jgr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213615023474178,0,0,0,0.00600456621004566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jsl",0.0248989898989899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345679012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kmk",0,0,0.000320512820512821,0,0,0,0,0,0.000654650198577227,0,0,0,0,0,0,0,0,0.0101111111111111,0,0,0,0,0,0,0.000301659125188537,0.00986842105263158,0,0,0.00286624203821656,0,0,0,0.0256781352104028,0,0.00138004246284501,0,0,0,0,0.00131578947368421,0,0.00358527131782946
"Kmy",0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112947658402204,0.00101351351351351,0,0.000529100529100529,0,0
"Kng",0.00345679012345679,0,0,0,0.00501234567901235,0,0,0,0,0,0.0067948717948718,0.000256410256410256,0,0,0,0.000888888888888889,0,0,0,0,0,0,0,0,0.00832504145936982,0,0,0,0,0,0.00140167142706019,0,0,0,0,0,0,0.00151515151515152,0,0,0,0
"Krb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
